Fila,Prompt,Idioma original,en,es,unknown,total,contamination,words,unknown_words
0,"The Water card reveals that you are currently navigating the depths of your own emotions, the ebb and flow of your inner world. This element of your psyche is a wellspring of intuition, empathy, and self-knowledge. Water, in its ever-changing forms, mirrors the fluid nature of your feelings, reflecting both the light and shadow of your inner landscape. It invites you to dive beneath the surface, to explore the hidden currents that shape your experience of reality. The Water card suggests that your emotions are not to be feared or suppressed, but rather embraced and understood. They are the vital force that propels you forward, coloring your perceptions and guiding your choices. By immersing yourself in the flow of your feelings, you open the door to profound self-discovery. The Water card is a reminder to honor the power of your emotions, to use them as a compass for navigating the uncharted waters of your own being.",en,134,24,1,159,0.151,"['are', 'a', 'fluid', 'nature', 'light', 'invites', 'to', 'to', 'explore', 'reality', 'are', 'to', 'be', 'are', 'vital', 'open', 'to', 'a', 'to', 'honor', 'to', 'use', 'as', 'a']",['propels']
1,"The Air card whispers secrets of the mind, 
A symphony of thoughts, a dance of ideas.
It speaks of clarity, of words well-spoken,
The power of communication, the tongue's might.
In the realm of thought, the Air reigns supreme,
A vital force that breathes life into the brain.  
It is the messenger, the conduit of dreams,
The bridge that spans from inner world to outer sphere.
Through Air, the mind connects, the soul takes flight,
In its wake, illumination, insight, and clarity.
The card invites us to tend to our thoughts,
To choose our words with care, our speech with thought.
For in the end, it is our inner world that shapes
The reality we see, the life we undertake.
So let us speak with honesty, with grace,
And let our words be a source of light.",en,120,19,0,139,0.137,"['a', 'a', 'dance', 'ideas', 'a', 'vital', 'bridge', 'to', 'soul', 'invites', 'to', 'to', 'to', 'care', 'reality', 'so', 'be', 'a', 'light']",[]
2,"The Earth card represents the tangible realm where ideas take root and manifest into physical form. In this context, the Three of Wands suggests that the querent's creative spark has found fertile ground, taking root and growing into something substantial. The card's upright position indicates that this growth is positive and expansive, bringing new opportunities and abundance into the querent's life. The element of fire associated with the Wands suggests a passionate and dynamic approach to these new endeavors, fueling the querent's drive and determination. However, the card's placement in the Earth realm also reminds the querent to stay grounded and focused on the practical aspects of their pursuits. This balance between the spiritual and the physical is essential for long-term success and fulfillment. The Earth card invites the querent to reflect on how they can align their inner vision with their outer actions, ensuring that their deepest values and aspirations are reflected in their daily practices and interactions with the material world.",en,156,13,0,169,0.077,"['tangible', 'ideas', 'has', 'positive', 'a', 'to', 'to', 'balance', 'invites', 'to', 'can', 'are', 'material']",[]
3,"The Ten of Pentacles, a card of completion and fulfillment, finds its home in the realm of Earth. This elemental sphere represents the tangible manifestation of our deepest desires and the physical manifestation of our inner world. The Ten of Pentacles invites us to explore the connection between our spiritual aspirations and our daily practices, challenging us to align our values with our actions. It prompts us to consider how we interact with the material world and how we manage our resources, encouraging a balanced and sustainable approach. The Earth card serves as a reminder that our beliefs and emotions have the power to shape our reality, and that our thoughts and actions have a direct impact on our physical well-being and the environment around us.",en,110,17,0,127,0.134,"['ten', 'a', 'elemental', 'tangible', 'ten', 'invites', 'to', 'explore', 'to', 'to', 'material', 'a', 'as', 'a', 'to', 'reality', 'a']",[]
4,"The Queen of Swords stands tall, her regal presence a testament to the power of the mind. In the realm of Earth, she reigns over the tangible aspects of our existence, the physical manifestations of our thoughts and desires. The card's imagery speaks of stability, of a foundation firmly rooted in the material world. Yet beneath this solidity lies a deeper current of transformation, of ideas taking shape and form. The Queen's sword, a symbol of intellectual prowess, cuts through the veil of the unknown, revealing new possibilities. Her crown, a representation of the self, reminds us that our true power lies not in external possessions, but in the strength of our own being. In the context of the Earth card, the Queen of Swords invites us to examine our relationship with the physical world. She challenges us to consider how we interact with our bodies, how we manage our resources, and how we navigate the challenges of the material plane. This card is a call to action, urging us to align our spiritual aspirations with our daily practices, to create a harmonious balance between the realms of the mind, heart, and body. It is a reminder that our thoughts and emotions have the power to shape our reality, and that by consciously directing our focus, we can manifest our dreams into tangible form.",en,192,34,0,226,0.15,"['queen', 'her', 'a', 'to', 'tangible', 'a', 'material', 'a', 'ideas', 'queen', 'a', 'her', 'a', 'true', 'queen', 'invites', 'to', 'examine', 'to', 'bodies', 'material', 'plane', 'a', 'to', 'to', 'to', 'a', 'balance', 'body', 'a', 'to', 'reality', 'can', 'tangible']",[]
5,"The Queen of Pentacles appears, her presence a soothing balm amidst the tempest of emotions. She embodies the essence of emotional balance, reminding us that true strength lies in embracing the ebb and flow of our feelings. Like the gentle caress of a babbling brook, her influence flows through our consciousness, revealing hidden depths and forgotten truths. She invites us to dive beneath the surface, to explore the uncharted waters of our psyche, and confront the emotions that shape our reality. The Queen of Pentacles is a beacon of intuition, guiding us towards a deeper understanding of ourselves and our place in the grand tapestry of existence. She reminds us that our emotions are not mere shadows to be feared, but powerful forces that can illuminate our path towards self-discovery and connection.",en,111,22,0,133,0.165,"['queen', 'her', 'a', 'balance', 'true', 'a', 'her', 'invites', 'to', 'to', 'explore', 'reality', 'queen', 'a', 'a', 'place', 'grand', 'are', 'mere', 'to', 'be', 'can']",[]
6,"The Ten of Cups speaks of the deep wellspring of passion and desire that lies within the human spirit. This card is a call to awaken the fiery spark of willpower that resides in us all. It invites us to look beneath the surface of our thoughts and feelings to the raw, unbridled energy of our innermost drives and motivations. The Fire card asks us to confront the authentic desires that propel us forward, to recognize the vital force that flows through our veins and animates our actions. It challenges us to align these primal urges with a higher purpose, to channel the power of our will in constructive and conscious ways. The Ten of Cups suggests that true fulfillment lies not in blindly following our impulses, but in harnessing the energy of our passions to manifest our highest aspirations. It is a call to embrace our inner fire, to let it illuminate our path and guide us towards our destiny. This card promises transformation and growth, inviting us to shed the old and make space for new possibilities to emerge. It is a reminder that we each possess an inexhaustible source of power and potential, and that by tapping into it, we can rewrite the story of our lives.",en,178,30,2,210,0.143,"['ten', 'human', 'a', 'to', 'resides', 'invites', 'to', 'look', 'to', 'to', 'to', 'vital', 'to', 'primal', 'urges', 'a', 'to', 'ten', 'true', 'impulses', 'to', 'a', 'to', 'embrace', 'to', 'to', 'to', 'emerge', 'a', 'can']","['willpower', 'propel']"
7,"The Earth card represents stability, physical manifestation, and the tangible realm of our existence. In this context, it suggests a need to ground ourselves in the here and now, to connect with our physical body and the material world around us. We may be overthinking or idealizing abstract concepts, losing touch with our earthly needs and desires. The Earth reminds us to focus on the concrete, the sensory, and the practical. It invites us to examine how we interact with our body, our resources, and our environment. Are we nourishing and sustaining ourselves and others? Are we being responsible stewards of the planet? The Earth card challenges us to align our spiritual aspirations with our daily actions and habits. It prompts a deep reflection on what we value and how we live our lives in relation to the physical world.",en,120,19,1,140,0.136,"['tangible', 'a', 'to', 'here', 'to', 'body', 'material', 'be', 'to', 'concrete', 'invites', 'to', 'examine', 'body', 'are', 'are', 'to', 'a', 'to']",['overthinking']
8,"The Ten of Swords speaks of the fiery spark that resides within, the divine power that drives us to action and change. This elemental force, associated with the drive and will, is the engine of inspiration and determination. It is the creative force that ignites our passions and propels us to manifest our desires in the physical realm. The Fire card invites us to reflect on how our inner strength and motivation shape our choices and decisions. It challenges us to align our authentic drives with a higher purpose, to use our willpower consciously and deliberately. This card suggests that true transformation lies in recognizing and harnessing the power of our inner fire, channeling it towards our highest aspirations. It is a call to embrace our divine spark, to let it burn bright and guide us on the path of growth and personal evolution.",en,122,20,2,144,0.139,"['ten', 'resides', 'divine', 'to', 'elemental', 'to', 'invites', 'to', 'to', 'a', 'to', 'use', 'true', 'a', 'to', 'embrace', 'divine', 'to', 'bright', 'personal']","['propels', 'willpower']"
9,"The Earth card represents the tangible realm where our deepest longings take root and bloom. In this domain of physical manifestation, the seeds of our desires sprout into form, pushing through the soil of our experiences to reach for the light. The Earth is the stage where the ethereal becomes concrete, where the ephemeral takes on weight and substance. It is the realm of the body, where the soul's yearnings are given shape through the vessel of flesh and bone. The Earth reminds us that our thoughts and feelings are not merely abstract concepts, but powerful forces that have the capacity to transform the material world. It challenges us to consider how we cultivate and steward the resources that flow through us, and how we channel our inner fire into tangible expressions of our truth. The Earth invites us to explore the fertile ground of our being, to plant the seeds of our dreams and watch them grow into the harvest of our lives.",en,148,17,0,165,0.103,"['tangible', 'to', 'light', 'concrete', 'body', 'soul', 'are', 'bone', 'are', 'to', 'material', 'to', 'tangible', 'invites', 'to', 'explore', 'to']",[]
