Fila,Prompt,Idioma original,en,es,unknown,total,contamination,words,unknown_words
0,"The Emperor card, as a mirror, reflects the depths of your emotional world. It invites you to connect with your feelings and intuition, allowing you to understand your inner truths. Embrace your emotional sensitivity as a source of connection and self-discovery.",en,34,8,0,42,0.19,"['as', 'a', 'invites', 'to', 'to', 'embrace', 'as', 'a']",[]
1,The Temperance card in the context of Air symbolizes the need for balance in communication and thought. It invites the seeker to explore the power of their words and the impact they have on their perception of reality.,en,33,5,0,38,0.132,"['balance', 'invites', 'to', 'explore', 'reality']",[]
2,The Three of Wands is a symbol of growth and expansion. It represents the tangible results of your efforts and the fruits of your labor. This card invites you to reflect on the material aspects of your life and how you can nurture and sustain your resources. It may also suggest an opportunity to expand your horizons and explore new possibilities.,en,52,9,0,61,0.148,"['a', 'tangible', 'labor', 'invites', 'to', 'material', 'can', 'to', 'explore']",[]
3,"The Ten of Pentacles is a symbol of abundance and prosperity. It represents the tangible manifestation of our dreams and desires. This card invites us to reflect on the material aspects of our lives, including our resources, finances, and physical environment. It encourages us to cultivate a balanced and sustainable approach to our material world, aligning our spiritual aspirations with our daily practices. The Ten of Pentacles is a reminder that our beliefs and emotions can be transformed into tangible reality, offering us the opportunity to nurture and sustain our personal growth and fulfillment.",en,76,18,0,94,0.191,"['ten', 'a', 'tangible', 'invites', 'to', 'material', 'to', 'a', 'to', 'material', 'ten', 'a', 'can', 'be', 'tangible', 'reality', 'to', 'personal']",[]
4,"The Queen of Swords is a symbol of sharp intellect and clear vision. She represents the ability to see the truth in any situation and to use that knowledge to navigate the material world with confidence and wisdom. This card can also indicate a need for focus and determination in order to achieve stability and security in your physical environment. It may also suggest a time of intense creativity and productivity, where your ideas and emotions are transformed into tangible forms. The Queen of Swords can also represent a mentor or guide who offers guidance and support in your journey towards personal growth and fulfillment.",en,84,21,0,105,0.2,"['queen', 'a', 'to', 'to', 'use', 'to', 'material', 'can', 'a', 'to', 'a', 'time', 'intense', 'ideas', 'are', 'tangible', 'queen', 'can', 'a', 'mentor', 'personal']",[]
5,The Queen of Pentacles invites you to explore the depths of your emotional world. Embrace your feelings and intuition as a source of wisdom and connection.,en,19,7,0,26,0.269,"['queen', 'invites', 'to', 'explore', 'embrace', 'as', 'a']",[]
6,"The Ten of Cups is a symbol of the divine spark that ignites motivation and the desire to manifest one's will in the physical world. It represents the vital force that drives action and change, and the power to purify and reinvent oneself. It invites reflection on the authentic desires that motivate actions and how to align them with a higher purpose.",en,54,9,0,63,0.143,"['ten', 'a', 'divine', 'to', 'vital', 'to', 'invites', 'to', 'a']",[]
7,"The Four of Cups in the context of Earth invites you to explore the depths of your emotional and material resources. This card encourages you to seek fulfillment in the tangible aspects of your life, nurturing your body and your environment. It invites you to find balance in your relationship with the material world, allowing you to live in harmony with your spiritual aspirations.",en,52,12,0,64,0.188,"['invites', 'to', 'explore', 'material', 'to', 'tangible', 'body', 'invites', 'to', 'balance', 'material', 'to']",[]
8,"The Ten of Swords is a symbol of the power of the will. It represents the ability to focus and channel one's energy towards a specific goal. This card suggests that the individual has the power to manifest their desires and create change in their life. It is a reminder to tap into the inner strength and use it wisely. The Ten of Swords is a call to action, urging the seeker to take control of their destiny and make their dreams a reality.",en,68,17,0,85,0.2,"['ten', 'a', 'to', 'a', 'individual', 'has', 'to', 'a', 'to', 'use', 'ten', 'a', 'to', 'to', 'control', 'a', 'reality']",[]
9,The Ace of Cups in the context of Earth invites you to explore the emotional depths of your material world. It calls for a harmonious balance between your inner and outer landscapes.,en,26,6,0,32,0.188,"['invites', 'to', 'explore', 'material', 'a', 'balance']",[]
