Fila,Prompt,Idioma original,en,es,unknown,total,contamination,words,unknown_words
0,"In the realm of emotions, the Emperor card whispers of the vast ocean within, a mirror reflecting the depths of the psyche. Emotions, like waves, ebb and flow, revealing truths buried beneath the surface. They are the whispers of the subconscious, guiding us towards self-discovery and understanding. Emotions, though often turbulent, are the essence of our being, offering insights into our true self and needs. They connect us with others, fostering empathy and a deeper understanding of shared experiences. The Emperor card invites us to immerse ourselves in our emotional world, exploring and honoring our feelings. It calls for introspection to identify dominant emotions and their impact on daily life, as well as the influence they have on our decisions and interactions with others. Emotions, like the ocean, are a source of strength and wisdom, calling us to honor our emotional sensitivity as a tool for connection and self-discovery.",en,134,17,0,151,0.113,"['a', 'buried', 'are', 'are', 'true', 'a', 'invites', 'to', 'to', 'as', 'as', 'are', 'a', 'to', 'honor', 'as', 'a']",[]
1,"In the realm of thought and communication, the card of Temperance whispers of the vital breath that links us to universal forces. It invites us to explore the depth of our internal dialogue, recognizing how our words and thoughts shape our reality. The card suggests an introspection on the clarity of our internal conversation and its impact on our perception of the world. It encourages us to seek balance, to find the middle ground between extremes, and to communicate with authenticity, allowing our true essence to emerge.",en,71,16,0,87,0.184,"['vital', 'to', 'universal', 'invites', 'to', 'explore', 'dialogue', 'reality', 'to', 'balance', 'to', 'extremes', 'to', 'true', 'to', 'emerge']",[]
2,"In the realm of the Three of Wands, the earth card invites you to reflect on the tangible manifestations of your aspirations. It prompts you to consider how your spiritual journey translates into the physical world, the resources you steward, and the balance between your inner and outer life. This card challenges you to examine your relationship with money, health, and the environment, urging you to align your actions with your deepest values, fostering a sustainable and balanced approach to life.",en,71,10,0,81,0.123,"['invites', 'to', 'tangible', 'to', 'balance', 'to', 'examine', 'to', 'a', 'to']",[]
3,"The Ten of Pentacles invites you to reflect on the balance between your spiritual aspirations and your daily practices. It challenges you to evaluate your relationship with money, health, and the environment, promoting a sustainable approach that reflects your deepest values. This card suggests that you are at a juncture where your beliefs and emotions have translated into tangible reality, and you are now faced with the responsibility of nurturing and sustaining life. It encourages you to consider how you manage your resources and the impact of your actions on the physical world. The Earth card reminds you that true fulfillment comes from aligning your spiritual journey with the practical aspects of life, ensuring that your actions are grounded in a sense of stability and nourishment.",en,110,16,0,126,0.127,"['ten', 'invites', 'to', 'balance', 'to', 'a', 'are', 'a', 'tangible', 'reality', 'are', 'to', 'true', 'comes', 'are', 'a']",[]
4,"The Queen of Swords, a card of intellect and clarity, invites you to reflect on the intersection of your spiritual aspirations and your daily practices. In the context of the Earth card, you are reminded to consider how your beliefs and emotions translate into tangible actions, much like the Queen herself, who embodies wisdom and discernment. The card challenges you to evaluate your relationship with the material world, including your resources, health, and the environment. It prompts you to seek a balanced and sustainable approach that aligns with your deepest values, much like the Queen's guidance is both sharp and nurturing.",en,89,13,0,102,0.127,"['queen', 'a', 'invites', 'to', 'are', 'to', 'tangible', 'queen', 'to', 'material', 'to', 'a', 'queen']",[]
5,"In the realm of emotions, the Queen of Pentacles invites you to delve into the depths of your psyche, where hidden truths and forgotten feelings await. Embrace the flow of your feelings, for they are a mirror reflecting your inner self. Allow your intuition to guide you, as it offers insights into your true needs and desires. Connect with others through empathy, for emotions are a shared language that fosters understanding and connection. Honor your emotional sensitivity as a tool for self-discovery and connection, for it is through your feelings that you can navigate life's complexities and make informed decisions.",en,87,15,0,102,0.147,"['queen', 'invites', 'to', 'embrace', 'are', 'a', 'to', 'as', 'true', 'are', 'a', 'honor', 'as', 'a', 'can']",[]
6,"In the heart of the fire, ten cups hold their weight, a symphony of love and unity. Each cup a vessel for the divine spark, each a reflection of the will that drives us to create, to connect, to transform. The fire burns away the old, the obsolete, the stagnant, leaving room for the new. It is a purifying force, a catalyst for change, a reminder to align our actions with our authentic desires, to channel our inner strength towards a higher purpose. The ten of cups invites us to recognize and properly channel our drive and willpower, to use our inner power consciously and deliberately, for personal growth and transformation.",en,90,20,1,111,0.18,"['ten', 'a', 'a', 'divine', 'a', 'to', 'to', 'to', 'a', 'a', 'a', 'to', 'to', 'a', 'ten', 'invites', 'to', 'to', 'use', 'personal']",['willpower']
7,"In the realm of Earth, where concepts take form, the querent finds themselves at the crossroads of spirit and matter. The Four of Cups, a card steeped in the essence of Earth, invites a profound reflection on the interplay between our deepest aspirations and the tangible world we inhabit. It prompts us to consider how our spiritual beliefs and emotional states are translated into the physical actions that shape our lives. This card challenges us to examine our relationship with resources, health, and the environment, urging us to cultivate a balanced and sustainable approach that aligns with our core values. In essence, it calls us to align our inner world with the material world, ensuring that our actions are guided by a harmonious blend of spirit and substance.",en,113,15,0,128,0.117,"['a', 'invites', 'a', 'tangible', 'to', 'are', 'to', 'examine', 'to', 'a', 'core', 'to', 'material', 'are', 'a']",[]
8,"In the realm of fire, where passion burns bright, the ten of swords whispers of hidden wounds. The cards speak of a heart scarred by past betrayals, a soul bruised by unfulfilled dreams. It is a reminder to let go of the past, to forgive and move forward. The journey of self-discovery is fraught with challenges, but it is through these trials that we find our true strength. The ten of swords invites us to embrace our inner fire, to ignite the spark of change within us. Let it burn away the remnants of the past, and in its ashes, we will find the courage to create anew.",en,93,16,0,109,0.147,"['bright', 'ten', 'a', 'a', 'soul', 'a', 'to', 'go', 'to', 'true', 'ten', 'invites', 'to', 'embrace', 'to', 'to']",[]
9,"The Ace of Cups, a symbol of the first emotional expression, invites you to explore the depths of your inner world. It is a reminder that your deepest feelings and emotions are the seeds from which your actions and physical manifestations grow. In the context of Earth, it suggests that your spiritual aspirations are deeply intertwined with your material existence, and that your relationship with the material world is a reflection of your inner balance and fulfillment. The card encourages you to reflect on how you manage your resources, including your health, finances, and the environment, and to seek a sustainable approach that aligns with your values.",en,93,14,0,107,0.131,"['a', 'invites', 'to', 'explore', 'a', 'are', 'are', 'material', 'material', 'a', 'balance', 'to', 'to', 'a']",[]
