Fila,Prompt,Idioma original,en,es,unknown,total,contamination,words,unknown_words
0,"The Emperor, when interpreted in the context of Water, reveals a mirror-like reflection of your emotional depth and subconscious. This card symbolizes the realm of dreams and the materialization of your deepest fears and desires. It invites you to explore the hidden depths of your psyche, much like diving into the ocean of your own emotions. This reading suggests that your subconscious is like the water that flows beneath the waves, revealing the hidden treasures and secrets that lie within. It encourages you to connect with your most intimate feelings and the intuitive wisdom that guides your actions, fostering a balance that reflects your deepest values and aspirations. This card invites a journey of self-discovery, where you discover the true essence of your emotions and the hidden treasures that lie within your subconscious.",en,123,12,0,135,0.089,"['a', 'invites', 'to', 'explore', 'lie', 'to', 'a', 'balance', 'invites', 'a', 'true', 'lie']",[]
1,"The Temperance card, when interpreted in the context of Air, reveals a mirror-like reflection of your thought processes and communication. This card symbolizes the realm of balance and harmony, where your deepest fears and desires are often manifested. It invites you to explore the hidden depths of your psyche, much like diving into the ocean of your own emotions. This reading suggests that your subconscious is like the water that flows beneath the waves, revealing the hidden treasures and secrets that lie within. It encourages you to connect with your most intimate feelings and the intuitive wisdom that guides your actions, fostering a balance that reflects your deepest values and aspirations. This card invites a journey of self-discovery, where you discover the true essence of your emotions and the hidden treasures that lie within your subconscious.",en,124,14,0,138,0.101,"['a', 'balance', 'are', 'invites', 'to', 'explore', 'lie', 'to', 'a', 'balance', 'invites', 'a', 'true', 'lie']",[]
2,"The Three of Wands, when interpreted in the context of Earth, reveals a mirror-like reflection of your material and emotional resources. This card symbolizes the realm of practicality and the material world, where your deepest fears and desires are often manifested. It invites you to explore the tangible aspects of your life, much like diving into the ocean of your own resources. This reading suggests that your material and emotional resources are like the water that flows beneath the waves, revealing the hidden treasures and secrets that lie within. It encourages you to connect with your body and the physical environment, to honor the intuitive wisdom that guides your actions, and to find the balance that reflects your deepest values and aspirations. This card invites a journey of self-discovery, where you discover the true essence of your material and emotional resources and the hidden treasures that lie within your subconscious.",en,130,22,0,152,0.145,"['a', 'material', 'material', 'are', 'invites', 'to', 'explore', 'tangible', 'material', 'are', 'lie', 'to', 'body', 'to', 'honor', 'to', 'balance', 'invites', 'a', 'true', 'material', 'lie']",[]
3,"The Ten of Pentacles, when interpreted in the context of Earth, reveals a mirror-like reflection of your material and emotional resources. This card symbolizes the realm of practicality and the material world, where your deepest fears and desires are often manifested. It invites you to explore the tangible aspects of your life, much like diving into the ocean of your own resources. This reading suggests that your material and emotional resources are like the water that flows beneath the waves, revealing the hidden treasures and secrets that lie within. It encourages you to connect with your body and the physical environment, to honor the intuitive wisdom that guides your actions, and to find the balance that reflects your deepest values and aspirations. This card invites a journey of self-discovery, where you discover the true essence of your material and emotional resources and the hidden treasures that lie within your subconscious.",en,129,23,0,152,0.151,"['ten', 'a', 'material', 'material', 'are', 'invites', 'to', 'explore', 'tangible', 'material', 'are', 'lie', 'to', 'body', 'to', 'honor', 'to', 'balance', 'invites', 'a', 'true', 'material', 'lie']",[]
4,"The Queen of Swords, when interpreted in the context of Earth, reveals a mirror-like reflection of your material and emotional resources. This card symbolizes the realm of practicality and the material world, where your deepest fears and desires are often manifested. It invites you to explore the tangible aspects of your life, much like diving into the ocean of your own resources. This reading suggests that your material and emotional resources are like the water that flows beneath the waves, revealing the hidden treasures and secrets that lie within. It encourages you to connect with your body and the physical environment, to honor the intuitive wisdom that guides your actions, and to find the balance that reflects your deepest values and aspirations. This card invites a journey of self-discovery, where you discover the true essence of your material and emotional resources and the hidden treasures that lie within your subconscious.",en,129,23,0,152,0.151,"['queen', 'a', 'material', 'material', 'are', 'invites', 'to', 'explore', 'tangible', 'material', 'are', 'lie', 'to', 'body', 'to', 'honor', 'to', 'balance', 'invites', 'a', 'true', 'material', 'lie']",[]
5,"The Queen of Pentacles, when interpreted in the context of Water, reveals a mirror-like reflection of your emotional depth and subconscious. This card symbolizes the realm of dreams, where your deepest desires and fears are often manifested. It invites you to explore the hidden depths of your psyche, much like diving into the ocean of your own emotions. This reading suggests that your subconscious is like the water that flows beneath the waves, revealing the hidden treasures and secrets that lie within. It encourages you to connect with your most intimate feelings and to honor the intuitive wisdom that guides your emotions. This card challenges you to explore your dreams and desires, to understand the true nature of your fears and aspirations, and to find the balance that reflects your deepest values and aspirations. It invites a journey of self-discovery, where you discover the true essence of your emotions and the hidden treasures that lie within your subconscious.",en,139,21,0,160,0.131,"['queen', 'a', 'are', 'invites', 'to', 'explore', 'lie', 'to', 'to', 'honor', 'to', 'explore', 'to', 'true', 'nature', 'to', 'balance', 'invites', 'a', 'true', 'lie']",[]
6,"The Ten of Cups, when interpreted in the context of Fire, reveals a mirror-like reflection of your drive and willpower. This card symbolizes the final moments of struggle before the light of victory. It invites you to confront the shadows of your own motivations and to understand that true strength lies in the ability to endure and overcome even the most challenging trials. This reading suggests that your drive and willpower are like the flames that burn away the remnants of old thoughts, revealing the pure essence of your spirit. It encourages you to embrace the pain of letting go as a necessary step in personal growth and transformation. This card challenges you to recognize the authentic desires that drive your actions and to align them with a higher purpose, fostering a transformation that reflects your deepest values and aspirations. It invites a journey of self-discovery, where you discover the true power of your will and the resilience that lies within you.",en,138,24,2,164,0.146,"['ten', 'a', 'final', 'light', 'invites', 'to', 'to', 'true', 'to', 'endure', 'are', 'to', 'embrace', 'go', 'as', 'a', 'personal', 'to', 'to', 'a', 'a', 'invites', 'a', 'true']","['willpower', 'willpower']"
7,"The Four of Cups, when interpreted in the context of Earth, reveals a mirror-like reflection of your material and emotional resources. This card symbolizes the realm of practicality and the material world, where your deepest fears and desires are often manifested. It invites you to explore the tangible aspects of your life, much like diving into the ocean of your own resources. This reading suggests that your material and emotional resources are like the water that flows beneath the waves, revealing the hidden treasures and secrets that lie within. It encourages you to connect with your body and the physical environment, to honor the intuitive wisdom that guides your actions, and to find the balance that reflects your deepest values and aspirations. This card invites a journey of self-discovery, where you discover the true essence of your material and emotional resources and the hidden treasures that lie within your subconscious.",en,130,22,0,152,0.145,"['a', 'material', 'material', 'are', 'invites', 'to', 'explore', 'tangible', 'material', 'are', 'lie', 'to', 'body', 'to', 'honor', 'to', 'balance', 'invites', 'a', 'true', 'material', 'lie']",[]
8,"The Ten of Swords, when interpreted in the context of Fire, reveals a mirror-like reflection of your drive and willpower. This card symbolizes the final moments of struggle before the light of victory. It invites you to confront the shadows of your own motivations and to understand that true strength lies in the ability to endure and overcome even the most challenging trials. This reading suggests that your drive and willpower are like the flames that burn away the remnants of old thoughts, revealing the pure essence of your spirit. It encourages you to embrace the pain of letting go as a necessary step in personal growth and transformation. This card challenges you to recognize the authentic desires that drive your actions and to align them with a higher purpose, fostering a transformation that reflects your deepest values and aspirations. It invites a journey of self-discovery, where you discover the true power of your will and the resilience that lies within you.",en,138,24,2,164,0.146,"['ten', 'a', 'final', 'light', 'invites', 'to', 'to', 'true', 'to', 'endure', 'are', 'to', 'embrace', 'go', 'as', 'a', 'personal', 'to', 'to', 'a', 'a', 'invites', 'a', 'true']","['willpower', 'willpower']"
9,"The Ace of Cups, when interpreted in the context of Earth, reveals a mirror-like reflection of your material and emotional resources. This card symbolizes the purest form of nourishment and the essence of what we seek in life. It invites you to explore the depths of your resources, much like diving into the ocean of your own being. This reading suggests that your material and emotional resources are like the water that sustains life, and that by understanding and harnessing these resources, you can achieve a balance that reflects your deepest values and aspirations. It encourages you to nourish your spirit and material world in a way that nourishes both your body and soul, fostering growth and fulfillment. This card invites a journey of self-discovery, where you discover the true value of your resources and how they can be used to create a sustainable and fulfilling life.",en,124,22,3,149,0.148,"['a', 'material', 'invites', 'to', 'explore', 'material', 'are', 'can', 'a', 'balance', 'to', 'material', 'a', 'body', 'soul', 'invites', 'a', 'true', 'can', 'be', 'to', 'a']","['purest', 'nourishes', 'fulfilling']"
