Fila,Prompt,Idioma original,en,es,unknown,total,contamination,words,unknown_words
0,"The Emperor, with its connection to the Water element, represents a time of emotional strength and wisdom within the realm of feelings and intuition. As you journey through the landscape of your inner world, remember to embrace the power of Water to connect with your most intimate feelings and intuitive wisdom. Embrace the flow of emotions, allowing them to guide you on your path of self-discovery. The Emperor invites you to reflect on your emotional world, considering how your intuition and empathy influence your decision-making and interactions with others. In this journey, may you find the strength to honor your emotional sensitivity, fostering deeper connections and personal growth.",en,96,14,0,110,0.127,"['to', 'a', 'time', 'as', 'to', 'embrace', 'to', 'embrace', 'to', 'invites', 'to', 'to', 'honor', 'personal']",[]
1,"The Temperance card, with its connection to the Air element, symbolizes a time of mental clarity and communication within the realm of thought and communication. As you journey through the landscape of your inner world, remember to embrace the power of Air to connect with your thoughts and higher wisdom. Embrace the vital breath that links you to universal forces, allowing it to guide you on your path of self-discovery. The Temperance invites you to reflect on your internal dialogue, considering how your thoughts and words shape your personal reality. In this journey, may you find the strength to cultivate mental clarity and discernment, fostering a deeper understanding of yourself and your surroundings.",en,93,21,0,114,0.184,"['to', 'a', 'time', 'mental', 'as', 'to', 'embrace', 'to', 'embrace', 'vital', 'to', 'universal', 'to', 'invites', 'to', 'dialogue', 'personal', 'reality', 'to', 'mental', 'a']",[]
2,"The Three of Wands, with its connection to the Earth element, symbolizes a time of stability and resourcefulness within the material realm. As you journey through the landscape of your physical world, remember to embrace the power of Earth to sustain and nurture your growth. Embrace the tangible reality of your surroundings, allowing it to guide you on your path of self-discovery. The Three of Wands invites you to reflect on your relationship with the material plane, considering how your beliefs and emotions manifest in your actions and decisions. In this journey, may you find the strength to align your spiritual aspirations with your daily practices, fostering a balanced and sustainable approach to life.",en,96,19,0,115,0.165,"['to', 'a', 'time', 'material', 'as', 'to', 'embrace', 'to', 'embrace', 'tangible', 'reality', 'to', 'invites', 'to', 'material', 'plane', 'to', 'a', 'to']",[]
3,"The Ten of Pentacles, with its connection to the Earth element, represents a time of abundance and nurturing within the material realm. As you journey through the landscape of your physical world, remember to embrace the power of Earth to sustain and nurture your growth. Embrace the tangible reality of your surroundings, allowing it to guide you on your path of self-discovery. The Ten of Pentacles invites you to reflect on your relationship with the material plane, considering how your beliefs and emotions manifest in your actions and decisions. In this journey, may you find the strength to align your spiritual aspirations with your daily practices, fostering a balanced and sustainable approach to life.",en,94,21,0,115,0.183,"['ten', 'to', 'a', 'time', 'material', 'as', 'to', 'embrace', 'to', 'embrace', 'tangible', 'reality', 'to', 'ten', 'invites', 'to', 'material', 'plane', 'to', 'a', 'to']",[]
4,"The Queen of Swords, with its connection to the Earth element, symbolizes a time of stability and resourcefulness within the material realm. As you journey through the landscape of your physical world, remember to embrace the power of Earth to sustain and nurture your growth. Embrace the tangible reality of your surroundings, allowing it to guide you on your path of self-discovery. The Queen of Swords invites you to reflect on your relationship with the material plane, considering how your beliefs and emotions manifest in your actions and decisions. In this journey, may you find the strength to align your spiritual aspirations with your daily practices, fostering a balanced and sustainable approach to life.",en,94,21,0,115,0.183,"['queen', 'to', 'a', 'time', 'material', 'as', 'to', 'embrace', 'to', 'embrace', 'tangible', 'reality', 'to', 'queen', 'invites', 'to', 'material', 'plane', 'to', 'a', 'to']",[]
5,"The Queen of Pentacles, with its connection to the Water element, represents a time of nurturing and intuition within the emotional realm. As you journey through the landscape of your inner world, remember to embrace the power of Water to connect with your most intimate feelings and intuitive wisdom. Embrace the flow of emotions, allowing them to guide you on your path of self-discovery. The Queen of Pentacles invites you to reflect on your emotional world, considering how your intuition and empathy influence your decision-making and interactions with others. In this journey, may you find the strength to honor your emotional sensitivity, fostering deeper connections and personal growth.",en,94,16,0,110,0.145,"['queen', 'to', 'a', 'time', 'as', 'to', 'embrace', 'to', 'embrace', 'to', 'queen', 'invites', 'to', 'to', 'honor', 'personal']",[]
6,"The Ten of Cups, with its connection to the Fire element, represents a time of transformation and renewal within the realm of willpower and drive. As you journey through the landscape of your inner world, remember to harness the power of Fire to purify and reinvent yourself. Embrace the energy of Fire, allowing it to burn away the old and obsolete, making room for new creations. The Ten of Cups invites you to reflect on your drive and willpower, considering how your authentic desires manifest in your actions and decisions. In this journey, may you find the strength to consciously and deliberately use your inner power, fostering personal growth and transformation.",en,94,15,2,111,0.135,"['ten', 'to', 'a', 'time', 'as', 'to', 'to', 'embrace', 'to', 'ten', 'invites', 'to', 'to', 'use', 'personal']","['willpower', 'willpower']"
7,"The Four of Cups, with its connection to the Earth element, symbolizes a time of stability and resourcefulness within the material realm. As you journey through the landscape of your physical world, remember to embrace the power of Earth to sustain and nurture your growth. Embrace the tangible reality of your surroundings, allowing it to guide you on your path of self-discovery. The Four of Cups invites you to reflect on your relationship with the material plane, considering how your beliefs and emotions manifest in your actions and decisions. In this journey, may you find the strength to align your spiritual aspirations with your daily practices, fostering a balanced and sustainable approach to life.",en,96,19,0,115,0.165,"['to', 'a', 'time', 'material', 'as', 'to', 'embrace', 'to', 'embrace', 'tangible', 'reality', 'to', 'invites', 'to', 'material', 'plane', 'to', 'a', 'to']",[]
8,"The Ten of Swords, with its connection to the Fire element, symbolizes a time of transformation and renewal within the realm of willpower and drive. As you journey through the landscape of your inner world, remember to harness the power of Fire to purify and reinvent yourself. Embrace the energy of Fire, allowing it to burn away the old and obsolete, making room for new creations. The Ten of Swords invites you to reflect on your drive and willpower, considering how your authentic desires manifest in your actions and decisions. In this journey, may you find the strength to consciously and deliberately use your inner power, fostering personal growth and transformation.",en,94,15,2,111,0.135,"['ten', 'to', 'a', 'time', 'as', 'to', 'to', 'embrace', 'to', 'ten', 'invites', 'to', 'to', 'use', 'personal']","['willpower', 'willpower']"
9,"The Ace of Cups, with its connection to the Earth element, represents a time of abundance and nurturing within the material realm. As you journey through the landscape of your physical world, remember to cultivate a balanced and sustainable approach to your resources and environment. Embrace the fertile ground of Earth, allowing it to support and sustain your growth. The Ace of Cups invites you to reflect on your relationship with the material plane, considering how your spiritual aspirations align with your daily practices. In this journey, may you find harmony between your inner and outer worlds, fostering a sense of abundance and fulfillment.",en,89,15,0,104,0.144,"['to', 'a', 'time', 'material', 'as', 'to', 'a', 'to', 'embrace', 'to', 'invites', 'to', 'material', 'plane', 'a']",[]
