Fila,Prompt,Idioma original,en,es,unknown,total,contamination,words,unknown_words
0,"The Emperor in the realm of Water invites a reflection on the power of emotional leadership. Like a wise ruler guiding his people, this card represents the capacity to lead with compassion, to make decisions from a place of deep understanding, and to create a culture of emotional intelligence. It is a reminder that the most effective leaders are those who understand the depths of the human experience, who can navigate the complexities of the heart, and who can inspire others to do the same. The Emperor in Water encourages the seeker to examine their own emotional landscape, to question their assumptions about power and control, and to cultivate a deeper connection with their own feelings. This card suggests that the path to true leadership lies not in the force of one's will, but in the strength of one's empathy, in the ability to understand and support the emotional needs of others. It is a call to create a space where all voices can be heard, where all emotions can be expressed, and where all people can thrive. The Emperor in Water is a reminder that the greatest leaders are those who understand the power of the heart, who can navigate the depths of the emotional world, and who can inspire others to do the same.",en,176,42,0,218,0.193,"['invites', 'a', 'a', 'to', 'to', 'a', 'place', 'to', 'a', 'culture', 'a', 'are', 'human', 'can', 'can', 'inspire', 'to', 'do', 'to', 'examine', 'to', 'control', 'to', 'a', 'to', 'true', 'to', 'a', 'to', 'a', 'can', 'be', 'can', 'be', 'can', 'a', 'are', 'can', 'can', 'inspire', 'to', 'do']",[]
1,"The Temperance card in the realm of Air invites a reflection on the power of balance and harmony. Like a gentle breeze carrying the scent of flowers, this card represents the capacity to find equilibrium, to blend opposing forces, and to create a sense of peace and unity. It is a reminder that the most profound insights arise from a place of balance, from the integration of different perspectives and the synthesis of diverse ideas. The Temperance card in Air encourages the seeker to examine their thought patterns, to question their assumptions, and to seek a deeper understanding of the world around them. This card suggests that the path to wisdom lies not in the accumulation of knowledge, but in the ability to discern, to discriminate, and to find the truth that lies between extremes. It is a call to cultivate a sense of inner balance, to find the middle way between the extremes of thought and emotion, and to trust in the power of the mind to navigate the complexities of the world. The Temperance card in Air is a reminder that the greatest insights arise from a place of balance, from the integration of different perspectives and the synthesis of diverse ideas.",en,167,37,0,204,0.181,"['invites', 'a', 'balance', 'a', 'to', 'to', 'to', 'a', 'a', 'a', 'place', 'balance', 'ideas', 'to', 'examine', 'to', 'to', 'a', 'to', 'to', 'to', 'to', 'extremes', 'a', 'to', 'a', 'balance', 'to', 'extremes', 'to', 'trust', 'to', 'a', 'a', 'place', 'balance', 'ideas']",[]
2,"The Three of Wands in the realm of Earth invites a reflection on the power of vision and action. Like a seedling sprouting from the soil, this card represents the moment when an idea takes root and begins to grow. It is a reminder that the most powerful creations arise from a combination of inspiration and hard work, of vision and practical application. The Three of Wands in Earth encourages the seeker to examine their relationship with the material world, to consider what they hope to manifest and how they plan to bring it into being. This card suggests that the path to success lies not in the accumulation of wealth, but in the cultivation of a deep connection with the earth, in the stewardship of the resources we have been given. It is a call to plant the seeds of our dreams, to nurture them with care and attention, and to trust in the power of our actions to bring forth a bountiful harvest. The Three of Wands in Earth is a reminder that the greatest riches are not measured in material terms, but in the strength of our vision, the depth of our commitment, and the quality of our creations.",en,174,28,0,202,0.139,"['invites', 'a', 'a', 'idea', 'to', 'a', 'a', 'to', 'examine', 'material', 'to', 'hope', 'to', 'plan', 'to', 'to', 'a', 'a', 'to', 'to', 'care', 'to', 'trust', 'to', 'a', 'a', 'are', 'material']",[]
3,"The Ten of Pentacles in the realm of Earth invites a reflection on the enduring power of legacy. Like a family heirloom passed down through generations, this card represents the capacity to create something of lasting value, to build a foundation that will support and nurture those who come after. It is a reminder that the true measure of success lies not in the accumulation of wealth, but in the quality of the life we create and the impact we have on others. The Ten of Pentacles in Earth encourages the seeker to consider their relationship with the material world, to question what they value and what they hope to leave behind. This card suggests that the path to fulfillment lies in the cultivation of a deep connection with the earth, in the stewardship of the resources we have been given, and in the creation of a world that is more abundant and more beautiful than the one we inherited. It is a call to build with intention, to invest in what matters most, and to trust in the power of our actions to shape the future. The Ten of Pentacles in Earth is a reminder that the greatest wealth is not measured in material terms, but in the strength of our relationships, the depth of our connection to the earth, and the legacy we leave behind.",en,195,32,0,227,0.141,"['ten', 'invites', 'a', 'a', 'down', 'to', 'to', 'a', 'come', 'a', 'true', 'ten', 'to', 'material', 'to', 'hope', 'to', 'to', 'a', 'a', 'more', 'more', 'a', 'to', 'to', 'to', 'trust', 'to', 'ten', 'a', 'material', 'to']",[]
4,"The Queen of Swords in the realm of Earth invites a reflection on the power of discernment. Like a gardener tending to her garden, this card represents the ability to cultivate wisdom, to prune away what is unnecessary, and to nurture what is most essential. It is a reminder that the path to abundance lies in the clarity of mind and the strength of purpose. The Queen of Swords in Earth encourages the seeker to examine their relationship with the material world, to question their assumptions about wealth and success, and to align their actions with their deepest values. This card suggests that the true measure of prosperity lies not in the accumulation of possessions, but in the integrity of one's choices and the quality of one's relationships. It is a call to cultivate a deep connection with the earth, to respect the boundaries of what is sustainable, and to trust in the power of one's own judgment. The Queen of Swords in Earth is a reminder that the greatest wealth is not measured in material terms, but in the strength of one's character and the clarity of one's vision.",en,168,27,0,195,0.138,"['queen', 'invites', 'a', 'a', 'to', 'her', 'to', 'to', 'to', 'a', 'to', 'queen', 'to', 'examine', 'material', 'to', 'to', 'true', 'a', 'to', 'a', 'to', 'to', 'trust', 'queen', 'a', 'material']",[]
5,"The Queen of Pentacles in the realm of Water invites a reflection on the nurturing power of emotions. Like a mother cradling her child, this card represents the capacity to provide comfort, security, and abundance. It is a reminder that the heart is a wellspring of wisdom, and that by honoring our feelings, we can cultivate a life of joy, love, and fulfillment. The Queen of Pentacles in Water encourages the seeker to embrace the ebb and flow of their emotional landscape, to trust in the guidance of their intuition, and to use their empathy as a tool for connection. This card suggests that the path to true abundance lies in the willingness to nurture oneself and others, to create a safe and supportive environment in which all can thrive. It is a call to cultivate a deep connection with the natural world, to find solace in the rhythms of the earth, and to trust in the power of the heart to heal and transform. The Queen of Pentacles in Water is a reminder that the greatest wealth is not measured in material terms, but in the depth of one's emotional connection to self and others.",en,159,38,0,197,0.193,"['queen', 'invites', 'a', 'a', 'her', 'to', 'a', 'a', 'can', 'a', 'queen', 'to', 'embrace', 'to', 'trust', 'to', 'use', 'as', 'a', 'to', 'true', 'to', 'to', 'a', 'can', 'a', 'to', 'a', 'natural', 'to', 'solace', 'to', 'trust', 'to', 'queen', 'a', 'material', 'to']",[]
6,"The Ten of Cups in the realm of Fire invites a reflection on the transformative power of love. Like a bonfire illuminating the night, this card represents the capacity to ignite passion, to inspire change, and to bring joy to all who witness it. It is a reminder that the most powerful force in the universe is not the destructive energy of war, but the creative energy of love. The Ten of Cups in Fire encourages the seeker to embrace their deepest desires, to let their heart's fire guide their path, and to trust in the power of their own love to transform the world. This card suggests that the greatest victories come not from the strength of one's will, but from the strength of one's heart. It is a call to let love be the driving force behind all actions, to let it be the compass that guides one's journey, and to trust in the power of the divine to manifest miracles. The Ten of Cups in Fire is a reminder that the most profound transformations occur when we surrender to the fire of love, when we let it consume us and remake us in its image.",en,170,32,0,202,0.158,"['ten', 'invites', 'a', 'a', 'to', 'to', 'inspire', 'to', 'to', 'a', 'ten', 'to', 'embrace', 'to', 'to', 'trust', 'to', 'come', 'a', 'to', 'be', 'to', 'be', 'to', 'trust', 'divine', 'to', 'ten', 'a', 'to', 'consume', 'remake']",[]
7,"The Four of Cups in the realm of Earth invites a reflection on the hidden potential of the material world. Like a seed buried deep beneath the soil, this card represents the untapped resources that lie within our grasp. It is a reminder that the true wealth of the earth is not measured in monetary terms, but in the abundance of natural resources and the potential for growth. The Four of Cups in Earth encourages the seeker to examine their relationship with the physical plane, to question their assumptions about what is valuable and what is not. This card suggests that the path to fulfillment lies not in the accumulation of possessions, but in the cultivation of a deep connection with the earth and all its wonders. It is a call to dig deeper, to uncover the hidden treasures that have been overlooked, and to use them wisely for the benefit of all. The Four of Cups in Earth is a reminder that the greatest riches are often found in the most unexpected places, and that by honoring the earth and all its gifts, we can create a world of abundance for generations to come.",en,168,27,0,195,0.138,"['invites', 'a', 'material', 'a', 'buried', 'lie', 'a', 'true', 'natural', 'to', 'examine', 'plane', 'to', 'to', 'a', 'a', 'to', 'to', 'to', 'use', 'a', 'are', 'places', 'can', 'a', 'to', 'come']",[]
8,"The Ten of Swords in the realm of Fire invites a reflection on the transformative power of surrender. Like a phoenix rising from the ashes, this card represents the moment of complete surrender, the willingness to let go of all that no longer serves. It is a reminder that sometimes the greatest strength lies in accepting defeat, in acknowledging the limitations of the ego, and in embracing the unknown. The Ten of Swords in Fire suggests that the path to true empowerment lies in the courage to face one's deepest fears, to confront the illusions that hold us back, and to trust in the power of the divine will. This card is a call to burn away the old patterns, to release the attachments that no longer align with one's authentic desires, and to step into the flames of transformation. It is a reminder that the greatest victories often come after the most devastating losses, and that the most profound growth occurs in the darkest of nights. The Ten of Swords in Fire invites the seeker to surrender to the fire of their own transformation, to trust in the power of their own resilience, and to emerge from the ashes, reborn and renewed.",en,171,33,1,205,0.161,"['ten', 'invites', 'a', 'a', 'complete', 'to', 'go', 'no', 'a', 'ego', 'ten', 'to', 'true', 'to', 'to', 'to', 'trust', 'divine', 'a', 'to', 'to', 'no', 'to', 'a', 'come', 'ten', 'invites', 'to', 'to', 'to', 'trust', 'to', 'emerge']",['darkest']
9,"The Ace of Cups in the realm of Earth invites a reflection on the abundance that lies within. Like a wellspring of water nourishing the soil, this card represents the potential for emotional and material fulfillment. It is a reminder that our inner resources, when channeled with intention, have the power to manifest in the physical world. The Ace of Cups in Earth encourages the seeker to cultivate a deep connection with their emotions, to honor the wisdom of the heart, and to trust in the power of their own resilience. This card suggests that the path to abundance lies in aligning one's spiritual and material desires, in living a life that is both grounded and inspired. It is a call to nurture the seeds of intention, to water the garden of one's dreams, and to trust in the capacity of the Earth to bring forth a bountiful harvest. The Ace of Cups in Earth is a reminder that the greatest wealth lies within, and that by tending to the wellspring of the heart, one can manifest a life of joy, love, and abundance.",en,159,27,0,186,0.145,"['invites', 'a', 'a', 'material', 'a', 'to', 'to', 'a', 'to', 'honor', 'to', 'trust', 'to', 'material', 'living', 'a', 'a', 'to', 'to', 'to', 'trust', 'to', 'a', 'a', 'to', 'can', 'a']",[]
