Fila,Prompt,Idioma original,en,es,unknown,total,contamination,words,unknown_words
0,"In the depths of the emotional realm, a regal figure stands tall, his presence commanding respect and authority. The currents of feeling flow around him, their ebb and flow reflecting the tides of his inner world. He is the master of his domain, the Emperor of his emotions, yet he does not rule them with an iron fist. Instead, he embraces their power, allowing them to inform his decisions and guide his actions. His wisdom comes not from detachment, but from a deep understanding of the currents that move within him. He is a beacon of stability amidst the tumultuous seas of the heart, his strength born not of repression, but of acceptance. In his presence, the waters calm, their secrets laid bare, their truths revealed. He is the Emperor of the emotional realm, and he invites you to join him in the depths, to explore the hidden currents of your own heart, and to find the wisdom that lies within.",en,139,22,0,161,0.137,"['a', 'figure', 'he', 'he', 'rule', 'instead', 'he', 'embraces', 'to', 'comes', 'a', 'he', 'a', 'seas', 'bare', 'he', 'he', 'invites', 'to', 'to', 'explore', 'to']",[]
1,"In the realm of thought, a gentle breeze stirs, carrying whispers of wisdom on its wings. It dances through the mind, a breath of inspiration, a spark igniting the fires of understanding. This wind of knowledge, this air of awareness, invites us to listen, to hear the subtle voices that speak from within. It beckons us to explore the landscapes of our own consciousness, to navigate the currents of our thoughts and words. For in the clarity of our communication, both with ourselves and the world around us, lies the key to unlocking the mysteries of our existence. The air card whispers secrets of the mind, urging us to breathe deeply, to inhale the essence of divine ideas, and exhale the truth of our own unique perspective. In this exchange, we become vessels of higher wisdom, channels through which the universal forces flow, shaping our reality with each breath we take.",en,131,20,0,151,0.132,"['a', 'dances', 'a', 'a', 'invites', 'to', 'listen', 'to', 'to', 'explore', 'to', 'to', 'to', 'to', 'inhale', 'divine', 'ideas', 'exhale', 'universal', 'reality']",[]
2,"In the fertile soil of existence, seeds of intention take root, nourished by the sun's warmth and the rain's gentle caress. As they sprout and grow, reaching towards the heavens, their tendrils intertwine with the web of life, weaving a tapestry of abundance. The fruits of labor manifest, a testament to the dance between spirit and matter, the tangible expression of dreams and desires.",en,57,9,0,66,0.136,"['rain', 'as', 'web', 'a', 'labor', 'a', 'to', 'dance', 'tangible']",[]
3,"In the realm of tangible forms, a tapestry of abundance unfolds, where the threads of prosperity weave through the fabric of existence. The dance of resources, a symphony of sustenance, nourishes the roots of being, allowing the fruits of labor to ripen in the fertile soil of time. The material plane, a canvas of potential, invites the brush of intention to paint a masterpiece of fulfillment, where the spirit's whispers manifest in the language of form. In this earthly domain, the echoes of the soul find expression, as the tangible and the intangible entwine in a sacred embrace, giving birth to a reality that mirrors the depths of the heart.",en,87,23,1,111,0.207,"['tangible', 'a', 'dance', 'a', 'labor', 'to', 'time', 'material', 'plane', 'a', 'invites', 'to', 'a', 'echoes', 'soul', 'as', 'tangible', 'intangible', 'a', 'embrace', 'to', 'a', 'reality']",['nourishes']
4,"In the realm of tangible forms, a queen of keen intellect reigns, her mind a sharp blade cutting through the veil of illusion. She stands upon the fertile earth, a ground of potential ripe for cultivation. With a steady gaze, she surveys her domain, assessing the resources at hand - the seeds of ideas, the minerals of emotions, the rich soil of experiences. Her sword, an extension of her will, slices through the chaff of indecision, revealing the essence of what is real and true. She is the embodiment of clarity, the mistress of discernment, her judgments as solid and unyielding as the earth itself. Yet, she is not a destroyer, but a gardener, tending to the growth of wisdom and understanding. She invites us to dig deep, to plant the seeds of our intentions, and to nurture them with the light of our awareness. For in the earth, all things find their form, and in the queen's wisdom, we discover the power to shape our reality.",en,139,28,0,167,0.168,"['tangible', 'a', 'queen', 'her', 'a', 'a', 'a', 'her', 'ideas', 'her', 'her', 'real', 'true', 'her', 'as', 'solid', 'as', 'a', 'a', 'to', 'invites', 'to', 'to', 'to', 'light', 'queen', 'to', 'reality']",[]
5,"In the depths of the soul's ocean, a queen reigns, her heart a compass navigating the currents of feeling. She dances with the tides, each wave a whisper of the subconscious, each ripple a reflection of the inner world. Her throne is the ebb and flow of empathy, the bridge between self and other, the mirror that reveals the hidden truths of the psyche. She invites you to dive deep, to explore the underwater realms of emotion, to embrace the turbulence as a source of wisdom. For in the depths, the heart speaks its own language, one of intuition and understanding. The queen of the waters bids you listen, to let the currents guide you to the treasures of self-discovery and connection.",en,102,22,0,124,0.177,"['soul', 'a', 'queen', 'her', 'a', 'dances', 'a', 'a', 'her', 'bridge', 'invites', 'to', 'to', 'explore', 'to', 'embrace', 'as', 'a', 'queen', 'listen', 'to', 'to']",[]
6,"In the heart of the hearth, a flame dances, a primal force that consumes and creates. It is the essence of will, the divine spark that ignites the soul. This fire, both destructive and constructive, purifies and transforms, burning away the old to make way for the new. It is the engine of creativity, the driving force behind inspiration and determination. The question is not whether to wield this power, but how to channel it consciously, aligning authentic desires with a higher purpose. For in the dance of the flame, there lies the potential for personal growth and transformation, the opportunity to reinvent oneself and one's life.",en,93,14,1,108,0.13,"['a', 'dances', 'a', 'primal', 'consumes', 'divine', 'soul', 'to', 'to', 'to', 'a', 'dance', 'personal', 'to']",['purifies']
7,"In the realm of the tangible, four cups stand, each brimming with the essence of earthly delights. Yet, the seeker, lost in reverie, fails to perceive the bounty before them. The cups, like the body, hold the potential for nourishment and fulfillment, but only when the mind awakens to their presence. To grasp the cups is to embrace the material world, not as an end in itself, but as a means to cultivate the inner landscape. The earth invites us to dance with the physical, to find the divine in the dirt, the sacred in the soil. For in the fertile ground of being, seeds of wisdom sprout, roots of understanding grow deep, and the fruits of self-knowledge ripen.",en,102,18,0,120,0.15,"['tangible', 'stand', 'to', 'body', 'to', 'to', 'to', 'embrace', 'material', 'as', 'as', 'a', 'to', 'invites', 'to', 'dance', 'to', 'divine']",[]
8,"In the heart of the inferno, a phoenix rises from the ashes, its wings ablaze with the fire of rebirth. The old has been consumed, leaving only the essential, the indomitable spirit that cannot be extinguished. From the crucible of destruction emerges a new beginning, a chance to reshape the self in the image of one's deepest desires. The flames of will burn bright, illuminating the path forward, a beacon of purpose in the darkness. Yet, the fire is a double-edged sword, its destructive power as potent as its creative force. To wield it wisely, one must look within, to the core of their being, and ask: what is it that I truly seek to manifest in this world? For the fire will burn away all that is false, leaving only the authentic self, naked and raw, ready to be reborn.",en,119,24,0,143,0.168,"['inferno', 'a', 'rises', 'has', 'be', 'emerges', 'a', 'a', 'chance', 'to', 'bright', 'a', 'a', 'as', 'as', 'to', 'look', 'to', 'core', 'i', 'to', 'false', 'to', 'be']",[]
9,"In the realm of the tangible, a cup overflows with the essence of creation, a primordial force that nourishes and sustains. This abundance, a gift from the cosmos, invites you to partake in the sacred act of manifestation. As you drink from this chalice, feel the currents of life flowing through your veins, awakening your senses and igniting your spirit. The earth, your canvas, awaits your brushstrokes of intention, ready to bear witness to the masterpiece of your existence. Embrace the fertile ground of your being, for it is here that your dreams take root and blossom into reality.",en,83,14,2,99,0.141,"['tangible', 'a', 'a', 'primordial', 'a', 'cosmos', 'invites', 'to', 'as', 'to', 'to', 'embrace', 'here', 'reality']","['nourishes', 'brushstrokes']"
